id;channel;affiliate;partner;acquisition_agent;action
1;Metal rich;sensor compress Brand;Guam olive;Soft Expressway;fuchsia Tennessee protocol
2;deposit policy;Operations;aggregate;ubiquitous Legacy;gold transparent Savings
3;services Keyboard programming;THX Directives Directives;Georgia dynamic;monitor Concrete;Plastic Fresh Mouse
4;Salad;Central auxiliary magnetic;Soft AI Indonesia;withdrawal Toys;Concrete
5;National;Rustic COM purple;Money Florida;calculate Buckinghamshire compressing;Product Soft Computer
6;Infrastructure blue models;embrace Administrator Composite;killer orchid;communities ADP Gloves;Consultant cross-platform
7;generation withdrawal Refined;Jamaica networks mindshare;deposit Kansas redundant;compelling Practical;Frozen Somoni Buckinghamshire
8;parse out-of-the-box Chicken;integrate Ariary SAS;Direct;maroon;Berkshire Soap Designer
9;Corporate array Re-contextualized;Radial experiences;Integrated Avon solutions;azure;COM invoice Mississippi
10;local;quantify wireless tan;help-desk eco-centric;Accountability Concrete;Lev
