id;href;name;role
1;ROI Junctions Granite;Wooden;bandwidth
2;stable;Liaison Marshall;Manager
3;Tools Account impactful;Berkshire;visionary
4;Program quantify;Granite Ergonomic target;Norfolk Account
5;Account District;Generic;User-friendly Data
6;yellow;Music;web-enabled mission-critical deposit
7;Corporate Borders;Incredible Optional state;Specialist
8;projection optimize;back-end Hryvnia Chips;JBOD Savings Wooden
9;Borders microchip;Rubber Indiana;Mission
10;reboot Checking;extranet Graphic Steel;Frozen purple Ergonomic
