id;name;value;value_type
1;Developer;markets;Soap Peso
2;open innovate intermediate;mobile;parsing attitude-oriented Producer
3;Officer bifurcated Buckinghamshire;Loan lime reboot;Islands, copy
4;Singapore Loti Cambridgeshire;Investment Practical;Account index
5;non-volatile;system;Table Concrete invoice
6;circuit Soft back;transparent;real-time 1080p
7;Awesome;TCP optical;haptic Bacon
8;circuit ability Officer;transparent programming;solution
9;Namibia tan;Granite;Movies grey ADP
10;Executive quantifying;Wooden Communications;Administrator Franc
