id;contract_id;language_id;term_type_code;action;status
1;38670;768;District interface;SMTP;analyzer sky
2;20229;15296;Cambridgeshire;Beauty;deposit application International
3;55487;32299;Phased;cross-media;Bridge withdrawal
4;88305;42148;Account deposit;Wyoming PNG foreground;Card
5;57907;96815;AGP gold Soft;Lithuania copying;Practical
6;38909;89333;ADP;feed real-time;Synergized
7;83940;9267;Account;Loan Response target;deposit Krone
8;31773;21312;Tasty;Steel;hacking turquoise
9;9628;45251;Music;Shoes;invoice
10;69083;96420;user-centric;Bedfordshire maximize Hawaii;SDD Buckinghamshire
