id;author;text;created_date
1;Salad transparent Bedfordshire;Cheese aggregate;2021-07-14T02:18:05
2;Officer Afghanistan Cheese;Paradigm Orchestrator;2021-07-13T11:59:58
3;Frozen Bedfordshire;Buckinghamshire copy;2021-07-14T05:42:55
4;Dirham bus wireless;Computers e-business;2021-07-13T12:34:08
5;throughput copying cross-platform;Industrial e-tailers;2021-07-13T17:27:42
6;Generic Reduced deposit;Facilitator Licensed;2021-07-13T05:54:17
7;Key;parsing FTP;2021-07-13T12:56:56
8;unleash;repurpose Soft Home;2021-07-13T14:07:53
9;New;North payment killer;2021-07-13T12:07:10
10;multi-byte;Personal Principal;2021-07-13T16:24:26
