id;name;description;price_type;unit_of_measure;recurring_charge_period;price_id
1;Fields Handcrafted;application Islands;Global;dynamic Incredible;Baby optical;7045
2;Concrete;Computer Account Investment;Illinois background;primary synthesize Bedfordshire;Sleek;51046
3;Refined;Grocery Facilitator;24/365 fault-tolerant Ghana;Meadows Orchestrator;dedicated;41145
4;withdrawal;Expanded;Auto SMTP Plastic;card Slovenia Gorgeous;systematic;36341
5;salmon deposit quantify;dedicated copying Jewelery;client-driven Dynamic;Dakota Franc;Sausages;59227
6;Garden Oklahoma backing;azure indexing Mills;Caribbean Assurance National;Assistant Focused Solutions;Sausages;20536
7;Sleek Wooden;Cambridgeshire Movies invoice;Fresh Somoni Fish;transition Bike Forward;experiences Upgradable;40588
8;Towels Usability;Missouri olive;Knoll HDD;aggregate Jewelery;Toys;44436
9;Security Kids;synthesizing;interface Island;index Architect;database;8262
10;International;Uzbekistan SMTP invoice;functionalities;Licensed;Games;80037
