id;name;description;price_type;unit_of_measure;recurring_charge_period;application_duration;priority
1;Michigan connecting;Frozen interfaces;system;Berkshire Stand-alone;Aruba;matrix;proactive
2;Seychelles convergence;Representative;Fresh Books;Ecuador reboot;protocol AGP Music;reboot Toys Account;virtual USB turn-key
3;Principal Investment;Zimbabwe transition;Architect;Practical Regional Kiribati;Soft redundant;Metical;indexing Avon scale
4;Towels Interface Korean;microchip;Mexico;out-of-the-box Colorado ADP;online;auxiliary;copying
5;Kyat Markets Wooden;Virginia SMTP connecting;bypassing;Zambian Shilling Identity;solution Facilitator primary;Legacy reboot;compressing Small Chair
6;Cambridgeshire;Creative Dobra;Steel matrix;Plains Berkshire blue;West;Shilling overriding;Rial architect Awesome
7;Dynamic Stream Pa'anga;Investor;Synergistic;Soap responsive;Research;exploit HDD;didactic innovate
8;Technician convergence;Optimized;Computer deposit;Officer Multi-channelled;neural Fish;Consultant Engineer;IB
9;Plastic;visionary deliverables help-desk;incubate;Outdoors Corporate;Avon Tonga;infomediaries Rustic Illinois;TCP
10;transitional;transition Concrete;grow Computer;Direct payment;Rustic Switchable Chief;Facilitator Wooden object-oriented;Supervisor Account Savings
