id;currency_code;tax_included_amount;duty_free_amount;tax_rate;percentage;total_recurring_price;total_one_time_price
1;NPR;88729;17884;42559;13003;90634;5981
2;PHP;36044;98591;74418;32359;50807;13518
3;RWF;17715;74726;14777;19636;78007;72395
4;BDT;49989;20692;27343;41231;12831;82295
5;JOD;36421;9238;47682;526;25612;60020
6;OMR;59823;10574;41515;59859;88510;40320
7;MMK;9843;18928;484;18594;85454;86671
8;CLP;51152;13134;74576;7659;47497;32119
9;KGS;9716;41148;1212;90058;52935;4858
10;BND;59554;39429;73660;91516;22880;13734
