id;version_id;variation_id;line_of_service;asset_id;serial_no;name
1;36986;302;Music Pants deposit;29313;65524;benchmark
2;74132;41100;Loan Fresh;57128;96862;Cotton zero
3;77010;30733;Plastic;44327;91494;efficient Accountability generate
4;62082;91944;monitor Metrics Fantastic;46002;48071;Soft
5;65636;74605;bus Cambridgeshire;91316;34836;online Extended Grocery
6;68313;98910;Handmade Granite;14663;74422;Mission Road
7;41132;9927;channels 1080p multi-tasking;9217;15008;Grenada
8;66321;80986;visualize Checking Sausages;16769;17173;matrix Avon
9;20152;54796;Focused management maroon;70942;61209;Liaison
10;51290;97694;green;21595;12959;Berkshire Steel Mountains
