id;name;value;value_type
1;Chair;USB ubiquitous Soft;Concrete recontextualize
2;Egyptian intelligence Vista;Trace;Bedfordshire Suriname Lek
3;engage Product;neural quantifying;world-class SQL
4;asymmetric;input Berkshire payment;Beauty Pants interfaces
5;Intranet;impactful utilisation Buckinghamshire;Corporate feed
6;Kids Dynamic;Intuitive Rial;driver customized
7;Decentralized;Borders bandwidth Rubber;Chicken Shirt
8;Product Generic;model;Group hack
9;Synergized;driver;collaborative Rial array
10;Card logistical;Toys Metal grow;Baby
