id;name;value;value_type;created_by;created_date
1;Pound withdrawal;lime Mandatory;platforms Nepal;metrics;2021-07-13T17:09:31
2;Mandatory matrix;Bedfordshire Automotive;Venezuela invoice;panel primary;2021-07-13T17:01:18
3;eco-centric Suriname Designer;Shoes;global Markets Legacy;Sausages Wooden Home;2021-07-13T23:01:18
4;e-enable indexing;AGP;Frozen Principal;Garden Soft time-frame;2021-07-13T15:28:35
5;sticky incentivize e-tailers;Sum;SMS 1080p;Analyst Hill;2021-07-13T19:16:16
6;User-friendly;Home;withdrawal;systems Sausages quantify;2021-07-13T09:44:09
7;Data;e-commerce up;Engineer;focus Object-based;2021-07-14T01:06:23
8;approach;content;XML;Wooden magenta Chief;2021-07-14T05:10:23
9;Gambia;Small Human Berkshire;lime;needs-based;2021-07-13T22:07:57
10;Wall;Shoes;metrics channels gold;Canyon;2021-07-13T10:43:32
